"index","year","fertility"
"1","1960","6.095"
"2","1961","5.929"
"3","1962","5.738"
"4","1963","5.533"
"5","1964","5.325"
"6","1965","5.125"
"7","1966","4.941"
"8","1967","4.772"
"9","1968","4.617"
"10","1969","4.474"
"11","1970","4.53"
"12","1971","4.54"
"13","1972","4.12"
"14","1973","4.07"
"15","1974","3.77"
"16","1975","3.43"
"17","1976","3"
"18","1977","2.99"
"19","1978","2.64"
"20","1979","2.9"
"21","1980","2.82"
"22","1981","2.57"
"23","1982","2.39"
"24","1983","2.06"
"25","1984","1.74"
"26","1985","1.66"
"27","1986","1.58"
"28","1987","1.53"
"29","1988","1.55"
"30","1989","1.56"
"31","1990","1.57"
"32","1991","1.71"
"33","1992","1.76"
"34","1993","1.654"
"35","1994","1.656"
"36","1995","1.634"
"37","1996","1.574"
"38","1997","1.52"
"39","1998","1.448"
"40","1999","1.41"
"41","2000","1.467"
"42","2001","1.297"
"43","2002","1.166"
"44","2003","1.18"
"45","2004","1.154"
"46","2005","1.076"
"47","2006","1.123"
"48","2007","1.25"
"49","2008","1.192"
"50","2009","1.149"
"51","2010","1.226"
"52","2011","1.244"
"53","2012","1.297"
"54","2013","1.187"
"55","2014","1.205"
"56","2015","1.239"
